Season,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
2024-2025,Iñigo Martínez,esESP,DF,33.0,28,28,"2,490",27.7,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.5,0.5,2.6,3.1,70.0,260.0,11.0,0.0,0.14,0.14,0.0,0.14,0.02,0.1,0.11,0.02,0.11
2024-2025,Alejandro Balde,esESP,DF,20.0,32,26,"2,284",25.4,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.5,0.5,3.4,3.9,107.0,93.0,246.0,0.0,0.16,0.16,0.0,0.16,0.02,0.13,0.15,0.02,0.15
2024-2025,Marc Casado,esESP,MF,20.0,23,20,"1,611",17.9,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0,1.1,1.1,1.4,2.4,12.0,107.0,24.0,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13
2024-2025,Iñaki Peña,esESP,GK,25.0,16,15,"1,396",15.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Wojciech Szczęsny,plPOL,GK,34.0,15,15,"1,350",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-2025,Eric García,esESP,"DF,MF",23.0,29,14,"1,566",17.4,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.3,2.3,0.8,3.1,18.0,109.0,22.0,0.11,0.17,0.29,0.11,0.29,0.13,0.05,0.18,0.13,0.18
2024-2025,Gavi,esESP,"MF,FW",19.0,26,14,"1,085",12.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,1.6,2.4,13.0,77.0,42.0,0.08,0.08,0.17,0.08,0.17,0.07,0.13,0.2,0.07,0.2
2024-2025,Dani Olmo,esESP,"MF,FW",26.0,25,13,"1,212",13.5,10.0,3.0,13.0,8.0,2.0,2.0,1.0,0.0,6.5,4.9,3.0,7.9,33.0,81.0,97.0,0.74,0.22,0.97,0.59,0.82,0.48,0.22,0.7,0.37,0.59
2024-2025,Fermin López,esESP,"MF,FW",21.0,28,12,"1,252",13.9,6.0,5.0,11.0,6.0,0.0,0.0,4.0,1.0,5.6,5.6,3.9,9.5,31.0,79.0,108.0,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69
2024-2025,Ferrán Torres,esESP,"FW,MF",24.0,27,12,"1,106",12.3,10.0,6.0,16.0,10.0,0.0,0.0,1.0,1.0,8.0,8.0,3.1,11.0,23.0,35.0,98.0,0.81,0.49,1.3,0.81,1.3,0.65,0.25,0.9,0.65,0.9
