Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Álvaro Rodríguez,uyURU,FW,19,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Lucas Cañizares,esESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álvaro Carrillo,esESP,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fran,esESP,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Fran González,esESP,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mario de Luis,esESP,GK,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álvaro Odriozola,esESP,DF,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Piñeiro,esESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edgar Pujol,doDOM,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jacobo Ramón,esESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Vinicius Tobias,brBRA,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Theo Zidane,frFRA,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.4,38,418,"3,420",38.0,85,66,151,83,2,5,69,4,68.8,65.2,52.5,117.7,950,1935,1923,2.24,1.74,3.97,2.18,3.92,1.81,1.38,3.19,1.71,3.10,
Opponent Total,,,27.1,38,418,"3,420",38.0,25,17,42,24,1,1,95,0,35.4,34.7,26.4,61.1,583,1261,1247,0.66,0.45,1.11,0.63,1.08,0.93,0.69,1.63,0.91,1.61,
