Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ronald Araújo,uyURU,DF,25,12,11,754,8.4,1,1,2,1,0,0,3,0,1.0,1.0,0.4,1.4,6,49,3,0.12,0.12,0.24,0.12,0.24,0.11,0.05,0.17,0.11,0.17,Matches
Frenkie de Jong,nlNED,MF,27,26,9,"1,143",12.7,2,2,4,2,0,0,3,0,0.7,0.7,2.0,2.6,36,120,24,0.16,0.16,0.31,0.16,0.31,0.05,0.16,0.21,0.05,0.21,Matches
Marc-André ter Stegen,deGER,GK,32,8,8,674,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Héctor Fort,esESP,DF,17,17,5,585,6.5,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,14,26,33,0.00,0.00,0.00,0.00,0.00,0.04,0.13,0.17,0.04,0.17,Matches
Pablo Torre,esESP,"MF,FW",21,10,4,310,3.4,3,1,4,3,0,0,0,0,0.4,0.4,0.8,1.1,5,17,20,0.87,0.29,1.16,0.87,1.16,0.11,0.23,0.33,0.11,0.33,Matches
Marc Bernal,esESP,MF,17,3,3,242,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches
Ansu Fati,esESP,FW,21,6,3,233,2.6,0,0,0,0,0,0,1,0,1.0,1.0,0.2,1.1,7,6,32,0.00,0.00,0.00,0.00,0.00,0.38,0.06,0.44,0.38,0.44,Matches
Pau Victor,esESP,FW,22,21,2,319,3.5,2,1,3,2,0,0,2,0,3.0,3.0,0.9,3.9,6,11,28,0.56,0.28,0.85,0.56,0.85,0.85,0.24,1.09,0.85,1.09,Matches
Andreas Christensen,dkDEN,DF,28,5,2,254,2.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.1,1,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Sergi Dominguez,esESP,DF,19,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Daniel Rodriguez,esESP,FW,18,1,1,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,2,9,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
Ander Astralaga,esESP,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álvaro Cortés,esESP,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andres Cuenca,esESP,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Noah Darvich,deGER,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Landry Farré,esESP,DF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Guillermo Fernandez,esESP,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Toni Fernández,esESP,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Diego Kochen,usUSA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alexis Olmedo,esESP,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Álex Valle,esESP,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Áron Yaakobishvili,huHUN,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.7,38,418,"3,420",38.0,99,72,171,92,7,8,63,3,91.5,85.2,67.5,152.7,860,2212,2201,2.61,1.89,4.50,2.42,4.32,2.41,1.78,4.18,2.24,4.02,
Opponent Total,,,26.8,38,418,"3,420",38.0,39,31,70,35,4,4,89,2,41.9,38.8,32.6,71.4,406,780,769,1.03,0.82,1.84,0.92,1.74,1.10,0.86,1.96,1.02,1.88,
