Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pedri,esESP,MF,21,37,35,"2,879",32.0,4,5,9,4,0,0,3,0,2.2,2.2,7.4,9.6,92,360,136,0.13,0.16,0.28,0.13,0.28,0.07,0.23,0.30,0.07,0.30,Matches
Raphinha,brBRA,"FW,MF",27,36,32,"2,839",31.5,18,9,27,16,2,2,4,0,19.2,17.6,12.7,30.3,94,135,349,0.57,0.29,0.86,0.51,0.79,0.61,0.40,1.01,0.56,0.96,Matches
Robert Lewandowski,plPOL,FW,35,34,32,"2,667",29.6,27,2,29,24,3,4,1,0,27.1,24.0,2.3,26.3,27,48,164,0.91,0.07,0.98,0.81,0.88,0.92,0.08,0.99,0.81,0.89,Matches
Lamine Yamal,esESP,FW,17,35,31,"2,856",31.7,9,13,22,9,0,0,3,0,9.8,9.8,13.9,23.8,181,160,433,0.28,0.41,0.69,0.28,0.69,0.31,0.44,0.75,0.31,0.75,Matches
Pau Cubarsí,esESP,DF,17,35,29,"2,618",29.1,0,3,3,0,0,0,3,0,0.8,0.8,1.6,2.5,26,191,6,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.08,0.03,0.08,Matches
Jules Koundé,frFRA,DF,25,32,29,"2,605",28.9,2,3,5,2,0,0,4,0,1.8,1.8,3.9,5.7,44,165,190,0.07,0.10,0.17,0.07,0.17,0.06,0.13,0.20,0.06,0.20,Matches
Iñigo Martínez,esESP,DF,33,28,28,"2,490",27.7,0,4,4,0,0,0,5,0,0.5,0.5,2.6,3.1,70,260,11,0.00,0.14,0.14,0.00,0.14,0.02,0.10,0.11,0.02,0.11,Matches
Alejandro Balde,esESP,DF,20,32,26,"2,284",25.4,0,4,4,0,0,0,2,0,0.5,0.5,3.4,3.9,107,93,246,0.00,0.16,0.16,0.00,0.16,0.02,0.13,0.15,0.02,0.15,Matches
Marc Casado,esESP,MF,20,23,20,"1,611",17.9,1,3,4,1,0,0,4,1,1.1,1.1,1.4,2.4,12,107,24,0.06,0.17,0.22,0.06,0.22,0.06,0.08,0.13,0.06,0.13,Matches
Iñaki Peña,esESP,GK,25,16,15,"1,396",15.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Wojciech Szczęsny,plPOL,GK,34,15,15,"1,350",15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Eric García,esESP,"DF,MF",23,29,14,"1,566",17.4,2,3,5,2,0,0,4,0,2.3,2.3,0.8,3.1,18,109,22,0.11,0.17,0.29,0.11,0.29,0.13,0.05,0.18,0.13,0.18,Matches
Gavi,esESP,"MF,FW",19,26,14,"1,085",12.1,1,1,2,1,0,0,4,0,0.9,0.9,1.6,2.4,13,77,42,0.08,0.08,0.17,0.08,0.17,0.07,0.13,0.20,0.07,0.20,Matches
Dani Olmo,esESP,"MF,FW",26,25,13,"1,212",13.5,10,3,13,8,2,2,1,0,6.5,4.9,3.0,7.9,33,81,97,0.74,0.22,0.97,0.59,0.82,0.48,0.22,0.70,0.37,0.59,Matches
Fermin López,esESP,"MF,FW",21,28,12,"1,252",13.9,6,5,11,6,0,0,4,1,5.6,5.6,3.9,9.5,31,79,108,0.43,0.36,0.79,0.43,0.79,0.41,0.28,0.69,0.41,0.69,Matches
Ferrán Torres,esESP,"FW,MF",24,27,12,"1,106",12.3,10,6,16,10,0,0,1,1,8.0,8.0,3.1,11.0,23,35,98,0.81,0.49,1.30,0.81,1.30,0.65,0.25,0.90,0.65,0.90,Matches
Gerard Martín,esESP,DF,22,28,11,"1,038",11.5,1,3,4,1,0,0,2,0,0.5,0.5,1.1,1.6,10,40,122,0.09,0.26,0.35,0.09,0.35,0.04,0.10,0.14,0.04,0.14,Matches
